Country,Getting Credit,Enforcing Contracts,Starting a Business,Ease of Doing Business,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,10.0,31.75645,91.99116,44.06497,438,543,591,642,637,614,578,547,556,521
Albania,14.0,53.516980000000004,91.75909,67.74847,4114,4094,4437,4248,4413,4579,3953,4124,4533,5269
Algeria,2.0,54.78094,78.01386,48.59758,3883,4481,5456,5592,5500,5493,4178,3946,4044,4115
Angola,1.0,28.11028,79.4006,41.28838,3123,3588,4615,5100,5255,5408,4167,3506,4096,3432
Antigua and Barbuda,5.0,68.11245,82.58503,60.28341999999999,14113,13049,12746,13272,12910,13502,14286,15198,15383,16727
Argentina,10.0,57.508759999999995,80.43345,58.96151,8225,10386,12849,13083,13080,12335,13789,12790,14592,11684
Armenia,14.0,69.70613,96.08549000000001,74.49401,2994,3218,3526,3682,3838,3986,3607,3592,3915,4212
Australia,19.0,79.00404,96.59675,81.21506,42772,52022,62518,68012,68150,62511,56756,49971,54066,57374
Austria,11.0,75.4859,83.24964,78.74549,47963,46858,51375,48568,50717,51717,44178,45238,47432,51462
Azerbaijan,20.0,70.29273,96.15716,76.70888000000001,4950,5843,7190,7496,7876,7891,5500,3881,4147,4721
"Bahamas, The",6.0,59.070809999999994,87.03235,59.87155,28552,28443,28006,29486,28768,29445,31406,31589,31827,32218
Bahrain,11.0,63.787980000000005,89.59156,76.02665,19356,20722,22514,23654,24744,24989,22689,22619,23715,24051
Bangladesh,9.0,22.21285,82.36901,45.04865,702,781,862,883,982,1119,1248,1402,1564,1698
Barbados,6.0,38.94721,86.36698,57.90615,15886,16056,16459,16250,16452,16489,16562,16937,17432,17949
Belarus,10.0,67.58417,93.52188000000001,74.29113000000001,5351,6181,6519,6940,7979,8319,5949,5023,5762,6290
Belgium,13.0,64.25069,92.32016999999999,74.98904,44584,44142,47349,44673,46745,47701,40992,42012,44220,47519
Belize,4.0,50.11487,72.01481,55.47444,4243,4271,4423,4506,4569,4706,4776,4818,4888,4885
Benin,6.0,41.50359,90.62416999999999,52.40404,793,758,827,838,916,945,784,789,829,902
Bhutan,11.0,69.98871,86.35499,65.97305,1819,2258,2563,2539,2473,2652,2753,2931,3287,3243
Bolivia,7.0,55.572590000000005,69.36413,51.65574,1754,1955,2346,2610,2908,3082,3036,3077,3351,3549
Bosnia and Herzegovina,13.0,57.8203,60.034440000000004,65.44253,4715,4636,5093,4779,5131,5330,4727,4995,5395,6066
Botswana,12.0,49.98989,76.22695,66.1978,5256,6435,7617,7878,7225,7781,6800,7244,7893,8259
Brazil,10.0,64.07953,81.29475,59.08306999999999,8598,11286,13246,12370,12300,12113,8814,8713,9881,8921
Brunei Darussalam,20.0,62.801759999999994,94.93346,70.06387,27956,35270,47056,47742,44740,41727,31165,27158,28572,31628
Bulgaria,13.0,67.04333000000001,85.39816,71.97405,6970,6843,7814,7378,7647,7865,6994,7469,8228,9273
Burkina Faso,6.0,41.052279999999996,88.17363,51.40019,553,575,667,674,700,704,575,583,642,715
Burundi,3.0,42.974059999999994,92.92286,46.77393,212,234,250,252,257,275,306,282,293,272
Cabo Verde,7.0,64.83565,84.46854,55.03925,3517,3378,3740,3448,3616,3589,3043,3131,3293,3635
Cambodia,16.0,31.74863,52.42046,53.84483,738,786,882,951,1013,1093,1163,1279,1385,1510
Cameroon,12.0,39.91137,86.27056,46.099740000000004,1315,1285,1403,1355,1465,1541,1327,1363,1422,1534
Canada,17.0,57.12838000000001,98.23581,79.64043000000001,40773,47450,52102,52542,52505,50836,43495,42280,45070,46233
Central African Republic,7.0,31.389090000000003,63.19125,35.56585,475,488,551,566,380,424,377,402,450,476
Chad,6.0,45.50991,52.51976,36.93568,800,892,983,967,980,1019,776,693,664,728
Chile,11.0,64.72224,91.42747,72.58023,10209,12808,14637,15352,15843,14671,13574,13748,15037,15923
China,12.0,80.91292,94.0921,77.9313,3832,4550,5618,6317,7051,7651,8033,8079,8759,9771
Colombia,18.0,34.28541,87.02499,70.05964,5195,6327,7324,8043,8213,8114,6176,5871,6376,6668
Comoros,8.0,32.97207,76.48653,47.87291,1339,1315,1446,1403,1505,1512,1242,1272,1321,1415
"Congo, Dem. Rep.",6.0,33.28015,91.62606,36.20973,299,334,387,425,458,487,497,471,467,562
"Congo, Rep.",8.0,43.99406,65.79674,39.533590000000004,2314,2810,3282,3033,3047,2993,1761,1814,1703,2148
Costa Rica,17.0,55.185390000000005,79.914,69.2383,6760,8142,9122,9913,10490,10547,11299,11666,11753,12027
Croatia,10.0,70.59806999999999,85.28107,73.62096,14556,13924,14567,13238,13642,13600,11783,12360,13412,14910
Cyprus,12.0,48.593790000000006,92.03844000000001,73.35105,32106,30818,32234,28985,27942,27407,23217,24019,25761,28159
Czech Republic,14.0,56.37744,82.06409000000001,76.34054,19742,19808,21717,19730,19916,19745,17716,18463,20380,23079
Denmark,14.0,73.921,92.70453,85.28856,58163,58041,61754,58508,61191,62549,53255,54664,57141,61350
Djibouti,8.0,48.43056,84.29874000000001,60.49674,1267,1343,1452,1559,2313,2466,2676,2818,2931,3083
Dominica,6.0,57.53493,89.32369,60.54796999999999,6903,6967,7065,6848,7017,7318,7596,8081,7275,7691
Dominican Republic,9.0,50.56409,85.43876999999999,59.98866999999999,5039,5555,5913,6110,6238,6609,6922,7281,7609,8051
Ecuador,9.0,57.53154,69.11291,57.7227,4232,4634,5201,5682,6056,6377,6124,6060,6214,6345
"Egypt, Arab Rep.",13.0,39.970859999999995,87.83591,60.05364,2329,2645,2792,3233,3264,3379,3599,3525,2441,2549
El Salvador,16.0,51.85391,78.63584,65.25247,2858,2983,3266,3428,3510,3589,3706,3800,3902,4058
Equatorial Guinea,8.0,56.1746,60.963930000000005,41.052859999999995,16668,17272,21614,21712,20385,19368,11279,9244,9738,10262
Estonia,14.0,76.06447,95.35989000000001,80.61685,14795,14784,17624,17534,19174,20367,17522,18237,20338,23266
Eswatini,11.0,36.71665,77.19821999999999,59.49273,3386,4169,4497,4528,4230,4039,3690,3448,3953,4146
Ethiopia,3.0,62.76565,71.70191,47.97613,381,342,354,467,500,567,641,717,768,772
Fiji,5.0,57.05174,73.56195,61.478919999999995,3363,3653,4371,4592,4841,5606,5391,5651,6101,6267
Finland,12.0,66.39798,93.46643,80.17834,47294,46460,51082,47711,49878,50260,42811,43777,46192,50152
France,10.0,73.46777,93.14713,76.80465,41575,40638,43791,40875,42593,43009,36613,36962,38679,41464
Gabon,8.0,32.83538,86.97388000000001,45.0251,7690,8841,10796,9814,9681,9651,7382,6980,7213,7953
"Gambia, The",6.0,50.88268,84.57777,50.29381,833,861,763,743,701,607,661,683,680,716
Georgia,17.0,75.04436,99.61764000000001,83.73393,2823,3233,4022,4422,4624,4739,4014,4062,4357,4717
Germany,14.0,74.09779,83.67435,79.71004,41486,41532,46645,43858,46286,47960,41140,42099,44240,47603
Ghana,12.0,53.99706,84.96239,59.96017,1075,1298,1558,1613,2378,1969,1766,1931,2026,2202
Greece,9.0,48.12003,95.99593,68.42390999999999,29711,26918,25916,22243,21875,21761,18168,18116,18883,20324
Grenada,6.0,59.33193000000001,87.96368000000001,53.444880000000005,7291,7258,7291,7445,7790,8370,9097,9628,10164,10640
Guatemala,17.0,34.54568,86.80156,62.59562,2636,2825,3188,3300,3453,3688,3924,4141,4471,4549
Guinea,6.0,53.87195,84.45567,49.42922,674,672,651,717,769,787,769,733,856,879
Guinea-Bissau,6.0,38.61288,75.49544,43.23319,557,558,703,616,634,622,603,661,737,778
Guyana,11.0,57.87369,85.60068000000001,55.49196,2757,3033,3425,3788,3935,4032,4166,4543,4586,4979
Haiti,7.0,51.56601,36.431509999999996,40.72493,672,666,744,770,816,832,816,735,766,868
Honduras,16.0,44.18695,71.36012,56.26791,1790,1904,2088,2144,2103,2206,2302,2343,2450,2500
Hungary,15.0,70.97665,88.19171999999999,73.41584,13046,13114,14151,12918,13687,14246,12652,12992,14458,16162
Iceland,11.0,69.10372,90.64966,78.96154,41333,43025,47517,45910,49522,54242,52429,61758,71315,73191
India,16.0,41.19173,81.60138,71.04511,1102,1358,1458,1444,1450,1574,1606,1729,1981,2010
Indonesia,14.0,49.08521,81.20898000000001,69.57879,2261,3122,3643,3694,3624,3492,3332,3563,3837,3894
Iraq,0.0,48.0168,77.25113,44.70443,3854,4657,6045,6836,7077,6819,4990,4777,5205,5834
Ireland,14.0,57.877790000000005,94.40378,79.57614000000001,52105,48715,51849,48918,51590,55493,61995,63197,69650,78806
Israel,14.0,58.85719,94.08292,76.67572,27716,30694,33669,32511,36309,37679,35777,37322,40542,41715
Italy,9.0,53.107130000000005,86.80897,72.85055,37080,36001,38599,35054,35550,35518,30230,30936,32327,34483
Jamaica,17.0,53.725469999999994,97.37286,69.67997,4316,4704,5111,5210,4989,4834,4908,4843,5069,5354
Japan,11.0,65.26177,86.09823,77.99983,40855,44508,48168,48603,40454,38109,34524,38794,38332,39290
Jordan,19.0,55.55814,84.5032,68.97453,3504,3690,3816,3877,3998,4073,4105,4104,4163,4242
Kazakhstan,16.0,81.25421999999999,94.42857,79.55915,7165,9070,11634,12387,13891,12807,10511,7715,9248,9813
Kenya,19.0,58.27156,82.72910999999999,73.21648,905,952,972,1137,1210,1316,1337,1411,1568,1711
Kiribati,4.0,53.38738000000001,78.40047,46.93884,1312,1517,1735,1789,1716,1643,1543,1585,1626,1625
"Korea, Rep.",13.0,84.1493,93.35556,84.00083000000001,18292,22087,24080,24359,25890,27811,27105,27608,29743,31363
Kosovo,17.0,64.73474,95.88466,73.18473,3210,3283,3737,3601,3877,4055,3574,3697,3948,4302
Kuwait,9.0,61.433130000000006,88.39693,67.40473,37562,38577,48619,51979,49388,44062,29870,27653,29760,33994
Kyrgyz Republic,17.0,50.41713,93.02396999999999,67.82089,871,880,1124,1178,1282,1280,1121,1121,1243,1281
Lao PDR,12.0,41.99286,62.66424,50.82456,949,1141,1378,1581,1826,1998,2135,2309,2424,2542
Latvia,17.0,73.50723,94.13799,80.28054,12257,11345,13714,13848,15043,15740,13699,14153,15548,17861
Lebanon,8.0,50.771879999999996,78.17714000000001,54.3316,7371,7757,7703,7986,7924,7712,7650,7635,7838,8270
Lesotho,11.0,57.18428,88.24301,59.4294,891,1200,1393,1329,1249,1276,1112,1115,1227,1299
Liberia,10.0,35.22925,88.93865,43.227470000000004,471,513,597,658,722,721,710,715,699,677
Libya,0.0,48.41406,73.14735,32.685520000000004,10275,12065,5554,13025,10364,6467,4338,4035,5756,7242
Lithuania,14.0,78.80244,93.27371,81.61948000000001,11837,11954,14339,14334,15705,16534,14249,14999,16841,19153
Luxembourg,3.0,73.31605,88.825,69.6031,103199,104965,115762,106749,113625,118824,101376,104278,107361,116640
Madagascar,8.0,50.04077,88.46242,47.72865,468,472,531,518,541,531,467,476,515,528
Malawi,18.0,47.403890000000004,77.9336,60.9371,438,479,535,392,348,371,381,316,357,389
Malaysia,15.0,68.23418000000001,83.31508000000001,81.47336999999999,7292,9041,10399,10817,10970,11319,9955,9818,10254,11373
Maldives,7.0,52.46638000000001,89.16009,53.274530000000006,6636,7077,7291,7266,7928,8499,9033,9209,9541,10331
Mali,6.0,42.80466,84.27014,52.94472,698,710,837,779,805,847,751,780,829,900
Malta,7.0,67.56799000000001,88.19324,66.13941,20676,21107,22846,21927,23839,26012,24077,25152,27284,30098
Marshall Islands,10.0,55.93107,88.36139,50.8911,2698,2877,3084,3224,3297,3230,3214,3474,3667,3788
Mauritania,8.0,65.98946,92.23607,51.06288,1079,1241,1436,1411,1477,1372,1193,1124,1146,1189
Mauritius,13.0,72.22104,94.48123000000001,81.46811,7318,8000,9197,9291,9637,10154,9260,9682,10485,11239
Mexico,18.0,67.00659,86.06705,72.35556,8003,9271,10203,10242,10725,10922,9606,8740,9278,9673
"Micronesia, Fed. Sts.",10.0,29.38895,69.61062,48.10341,2722,2885,3009,3131,2995,2971,2906,3015,3290,3568
Moldova,14.0,63.64595,95.68106,74.39090999999999,1526,1958,2364,2447,2669,2674,2179,2272,2724,3227
Mongolia,16.0,61.36303,86.67187,67.77261999999999,1714,2643,3758,4352,4366,4159,3919,3660,3669,4122
Montenegro,17.0,66.75214,86.6642,73.81891,6727,6682,7319,6587,7186,7378,6514,7029,7784,8844
Morocco,9.0,63.70476,93.00662,73.38133,2867,2840,3047,2913,3122,3172,2875,2898,3036,3238
Mozambique,5.0,39.782309999999995,69.26071,54.9955,520,471,595,658,664,674,590,429,461,499
Myanmar,2.0,26.38618,89.34536999999999,46.82775,734,979,1176,1166,1162,1252,1133,1192,1250,1326
Namibia,12.0,63.435669999999995,72.20375,61.35078000000001,4265,5325,5754,5931,5694,5624,5033,4786,5646,5931
Nepal,15.0,45.99435,81.6569,63.1866,478,592,699,698,716,743,793,777,911,1034
Netherlands,9.0,59.94072,94.33849000000001,76.10376,52514,50950,54159,50073,52184,52830,45175,46008,48555,53024
New Zealand,20.0,71.47508,99.97544,86.76465,28201,33692,38427,39970,42949,44534,38560,40027,42260,41945
Nicaragua,10.0,58.583169999999996,79.57321999999999,54.38673000000001,1444,1504,1656,1760,1812,1934,2050,2108,2168,2029
Niger,14.0,54.69262,91.51177,56.759319999999995,339,347,374,390,414,428,361,362,376,414
Nigeria,17.0,61.459740000000004,86.21866999999999,56.875890000000005,1891,2292,2520,2747,2998,3223,2730,2176,1969,2028
North Macedonia,16.0,66.01086,88.6177,80.74807,4544,4543,5064,4698,5211,5468,4840,5129,5418,6084
Norway,11.0,81.26778,94.33768,82.62729,79978,87694,100601,101524,102913,97019,74356,70461,75497,81697
Oman,7.0,61.87115,93.46377,69.98474,16824,19281,20897,21924,20927,20132,16151,14722,15130,16415
Pakistan,9.0,43.48726,89.26536,60.95491,958,987,1165,1198,1209,1251,1357,1368,1465,1482
Palau,10.0,52.20845,82.14697,53.699819999999995,10028,10220,10884,11967,12688,13795,15872,16932,16078,15859
Panama,16.0,48.96475,92.01289,66.56045,7576,8082,9358,10722,11889,12796,13630,14356,15166,15575
Papua New Guinea,14.0,36.205220000000004,80.14744,59.77356999999999,1626,1949,2407,2791,2730,2921,2679,2510,2695,2730
Paraguay,8.0,61.62132,75.98235,59.05401,3625,4356,5323,5183,5927,6103,5407,5319,5681,5822
Peru,15.0,59.06726,82.12816,68.69658000000001,4196,5082,5869,6529,6757,6673,6229,6205,6711,6941
Philippines,8.0,45.964040000000004,71.2777,62.82943,1822,2124,2345,2573,2749,2831,2867,2941,2982,3103
Poland,15.0,64.36328,82.90859,76.38122,11528,12600,13894,13146,13781,14348,12572,12432,13857,15421
Portugal,9.0,67.90524,90.90398,76.46616,23060,22499,23187,20565,21647,22074,19242,19978,21437,23408
Puerto Rico,19.0,61.81652,91.24406,70.06962,25769,26436,27279,27945,28513,28981,29764,30629,31353,31651
Qatar,9.0,54.64343,86.05271,68.66573000000001,59094,67403,82410,85076,85051,83859,63039,57163,61264,68794
Romania,16.0,72.24591,87.68068000000001,73.3332,8548,8210,9105,8535,9555,10027,8977,9567,10808,12301
Russian Federation,16.0,72.18106999999999,93.05734,78.16284,8563,10675,14351,15435,16007,14101,9314,8745,10751,11289
Rwanda,19.0,69.10635,93.23825,76.48281999999999,557,583,646,704,705,723,728,726,763,773
Samoa,9.0,58.58749,92.59108,62.074040000000004,3168,3566,3933,4022,4038,3938,4074,4109,4258,4183
Saudi Arabia,12.0,65.25755,93.13547,71.55722,16113,19263,23746,25243,24845,24464,20628,19879,20804,23339
Senegal,13.0,50.61203,91.18542,59.275,1317,1279,1372,1330,1376,1395,1219,1269,1367,1522
Serbia,13.0,63.14017,89.25431,75.65345,6169,5735,6809,6016,6755,6600,5585,5756,6284,7247
Seychelles,7.0,51.24561,78.75501,61.704969999999996,9707,10805,12189,12007,14766,14700,14745,15078,15684,16434
Sierra Leone,5.0,55.915980000000005,91.28746,47.45831,391,402,448,566,717,715,588,501,499,534
Singapore,15.0,84.53189,98.22968,86.1981,38927,47237,53890,55546,56967,57563,55647,56724,60298,64582
Slovak Republic,14.0,66.12145,84.81288,75.58542,16532,16727,18338,17460,18237,18671,16309,16506,17510,19443
Slovenia,9.0,54.82325,93.03083000000001,76.51751,24694,23510,25095,22643,23497,24215,20882,21623,23443,26124
Solomon Islands,10.0,43.48648,85.61679000000001,55.26279,1160,1290,1722,1913,1977,1997,1914,1986,2059,2138
South Africa,12.0,56.8817,81.22483000000001,67.01897,5863,7329,8007,7501,6832,6433,5735,5273,6132,6374
Spain,12.0,70.89553000000001,86.94991,77.93588000000001,32042,30503,31636,28324,29060,29462,25732,26506,28101,30371
Sri Lanka,8.0,41.16373,88.20442,61.80614,2090,2800,3201,3351,3610,3819,3844,3886,4105,4102
St. Kitts and Nevis,5.0,65.51304,85.8768,54.63689,15784,15509,16538,16045,16685,18052,18029,18812,19155,19275
St. Lucia,5.0,59.67044,89.35396999999999,63.6504,7425,8037,8227,8152,8359,8744,9262,9452,10040,10566
St. Vincent and the Grenadines,5.0,63.66124,87.0498,57.0869,6233,6293,6242,6390,6640,6685,6921,7075,7213,7361
Sudan,3.0,47.83504,76.72868000000001,44.82932,1238,1490,1672,1882,1944,2163,2487,2398,3015,977
Suriname,2.0,25.94155,61.564859999999996,47.46427,7408,8256,8263,9201,9402,9472,8562,5605,5379,6234
Sweden,12.0,67.60978,93.11173000000001,81.99155,46794,52817,60613,57874,60897,59844,51397,51974,53744,54608
Switzerland,13.0,64.08962,88.44104,76.61864,69927,74606,88416,83538,85112,86606,82082,80172,80450,82797
Tajikistan,18.0,60.70995,93.23501999999999,61.26761,676,750,847,969,1048,1104,929,803,806,827
Tanzania,13.0,61.66109,74.39872,54.46329,695,743,781,868,970,1030,948,966,1005,1051
Thailand,14.0,67.91147,92.36265999999999,80.09233,4213,5076,5492,5861,6168,5952,5840,5979,6578,7274
Timor-Leste,4.0,6.13236,89.40581,39.36487,2978,3657,5095,5880,4888,3442,2585,2053,2001,2036
Togo,14.0,49.024429999999995,95.13053000000001,62.28934,538,534,586,572,621,640,571,597,625,679
Tonga,14.0,57.31726999999999,90.9485,61.38921,3063,3553,4085,4598,4429,4394,4321,3966,4217,4364
Trinidad and Tobago,13.0,35.62471,88.57794,61.29128000000001,14514,16683,19034,19157,20144,20271,18290,16177,16238,17130
Tunisia,10.0,58.40875,94.56389,68.65706,4128,4142,4265,4153,4223,4305,3862,3698,3482,3448
Turkey,15.0,71.40244,88.78889000000001,76.79104,9039,10672,11336,11707,12519,12096,10949,10821,10514,9370
Uganda,12.0,60.59958,71.38371,59.9818,578,622,603,669,689,739,709,609,632,643
Ukraine,15.0,63.59095,91.07639,70.2106,2543,2965,3570,3855,4030,3105,2125,2188,2641,3095
United Arab Emirates,14.0,75.87629,94.76119,80.91489,32024,33893,39195,40976,42413,43752,38663,38142,39812,43005
United Kingdom,15.0,68.68538000000001,94.57844,83.54968000000001,38713,39436,42039,42463,43445,47418,44966,41074,40361,42944
United States,19.0,73.43767,91.59317,83.99668,47100,48467,49883,51603,53107,55033,56803,57904,59928,62795
Uruguay,12.0,56.290009999999995,89.59999,61.53994,9452,11992,14237,15172,16974,16832,15614,15387,16437,17278
Uzbekistan,13.0,71.88951,96.15839,69.87898,1213,1634,1926,2137,2281,2492,2615,2568,1827,1532
Vanuatu,15.0,49.27388,81.47285,61.05191,2650,2967,3265,3133,3124,3088,2802,2890,3082,3124
Vietnam,16.0,62.069140000000004,85.11464000000001,69.76594,1217,1318,1525,1735,1887,2030,2085,2192,2366,2567
West Bank and Gaza,16.0,52.51243,70.19032,59.978730000000006,1970,2354,2695,2834,3060,3047,2968,3074,3254,3199
"Yemen, Rep.",0.0,48.51871,76.84221,31.762990000000002,1116,1335,1375,1447,1607,1674,1609,1140,963,944
Zambia,19.0,50.81521,84.91265,66.93648,1160,1489,1673,1763,1879,1763,1338,1281,1535,1540
Zimbabwe,13.0,39.6591,72.00298000000001,54.46935,772,948,1094,1305,1430,1435,1445,1465,1602,2147
