Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,438,543,591,642,637,614,578,547,556,521
Albania,4114,4094,4437,4248,4413,4579,3953,4124,4533,5269
Algeria,3883,4481,5456,5592,5500,5493,4178,3946,4044,4115
American Samoa,11961,10271,10294,11569,11505,11507,11843,11697,10823,11467
Andorra,43339,39736,41101,38393,40627,42300,36040,37224,39134,42030
Angola,3123,3588,4615,5100,5255,5408,4167,3506,4096,3432
Antigua and Barbuda,14113,13049,12746,13272,12910,13502,14286,15198,15383,16727
Argentina,8225,10386,12849,13083,13080,12335,13789,12790,14592,11684
Armenia,2994,3218,3526,3682,3838,3986,3607,3592,3915,4212
Australia,42772,52022,62518,68012,68150,62511,56756,49971,54066,57374
Austria,47963,46858,51375,48568,50717,51717,44178,45238,47432,51462
Azerbaijan,4950,5843,7190,7496,7876,7891,5500,3881,4147,4721
"Bahamas, The",28552,28443,28006,29486,28768,29445,31406,31589,31827,32218
Bahrain,19356,20722,22514,23654,24744,24989,22689,22619,23715,24051
Bangladesh,702,781,862,883,982,1119,1248,1402,1564,1698
Barbados,15886,16056,16459,16250,16452,16489,16562,16937,17432,17949
Belarus,5351,6181,6519,6940,7979,8319,5949,5023,5762,6290
Belgium,44584,44142,47349,44673,46745,47701,40992,42012,44220,47519
Belize,4243,4271,4423,4506,4569,4706,4776,4818,4888,4885
Benin,793,758,827,838,916,945,784,789,829,902
Bhutan,1819,2258,2563,2539,2473,2652,2753,2931,3287,3243
Bolivia,1754,1955,2346,2610,2908,3082,3036,3077,3351,3549
Bosnia and Herzegovina,4715,4636,5093,4779,5131,5330,4727,4995,5395,6066
Botswana,5256,6435,7617,7878,7225,7781,6800,7244,7893,8259
Brazil,8598,11286,13246,12370,12300,12113,8814,8713,9881,8921
Brunei Darussalam,27956,35270,47056,47742,44740,41727,31165,27158,28572,31628
Bulgaria,6970,6843,7814,7378,7647,7865,6994,7469,8228,9273
Burkina Faso,553,575,667,674,700,704,575,583,642,715
Burundi,212,234,250,252,257,275,306,282,293,272
Cabo Verde,3517,3378,3740,3448,3616,3589,3043,3131,3293,3635
Cambodia,738,786,882,951,1013,1093,1163,1279,1385,1510
Cameroon,1315,1285,1403,1355,1465,1541,1327,1363,1422,1534
Canada,40773,47450,52102,52542,52505,50836,43495,42280,45070,46233
Central African Republic,475,488,551,566,380,424,377,402,450,476
Chad,800,892,983,967,980,1019,776,693,664,728
Chile,10209,12808,14637,15352,15843,14671,13574,13748,15037,15923
China,3832,4550,5618,6317,7051,7651,8033,8079,8759,9771
Colombia,5195,6327,7324,8043,8213,8114,6176,5871,6376,6668
Comoros,1339,1315,1446,1403,1505,1512,1242,1272,1321,1415
"Congo, Dem. Rep.",299,334,387,425,458,487,497,471,467,562
"Congo, Rep.",2314,2810,3282,3033,3047,2993,1761,1814,1703,2148
Costa Rica,6760,8142,9122,9913,10490,10547,11299,11666,11753,12027
Cote d'Ivoire,1210,1212,1207,1243,1415,1559,1426,1482,1557,1716
Croatia,14556,13924,14567,13238,13642,13600,11783,12360,13412,14910
Cuba,5530,5730,6140,6497,6838,7133,7694,8061,8541,8822
Cyprus,32106,30818,32234,28985,27942,27407,23217,24019,25761,28159
Czech Republic,19742,19808,21717,19730,19916,19745,17716,18463,20380,23079
Denmark,58163,58041,61754,58508,61191,62549,53255,54664,57141,61350
Djibouti,1267,1343,1452,1559,2313,2466,2676,2818,2931,3083
Dominica,6903,6967,7065,6848,7017,7318,7596,8081,7275,7691
Dominican Republic,5039,5555,5913,6110,6238,6609,6922,7281,7609,8051
Ecuador,4232,4634,5201,5682,6056,6377,6124,6060,6214,6345
"Egypt, Arab Rep.",2329,2645,2792,3233,3264,3379,3599,3525,2441,2549
El Salvador,2858,2983,3266,3428,3510,3589,3706,3800,3902,4058
Equatorial Guinea,16668,17272,21614,21712,20385,19368,11279,9244,9738,10262
Estonia,14795,14784,17624,17534,19174,20367,17522,18237,20338,23266
Eswatini,3386,4169,4497,4528,4230,4039,3690,3448,3953,4146
Ethiopia,381,342,354,467,500,567,641,717,768,772
Fiji,3363,3653,4371,4592,4841,5606,5391,5651,6101,6267
Finland,47294,46460,51082,47711,49878,50260,42811,43777,46192,50152
France,41575,40638,43791,40875,42593,43009,36613,36962,38679,41464
Gabon,7690,8841,10796,9814,9681,9651,7382,6980,7213,7953
"Gambia, The",833,861,763,743,701,607,661,683,680,716
Georgia,2823,3233,4022,4422,4624,4739,4014,4062,4357,4717
Germany,41486,41532,46645,43858,46286,47960,41140,42099,44240,47603
Ghana,1075,1298,1558,1613,2378,1969,1766,1931,2026,2202
Greece,29711,26918,25916,22243,21875,21761,18168,18116,18883,20324
Grenada,7291,7258,7291,7445,7790,8370,9097,9628,10164,10640
Guam,30027,30700,30859,32495,33265,34394,35279,35563,35616,35713
Guatemala,2636,2825,3188,3300,3453,3688,3924,4141,4471,4549
Guinea,674,672,651,717,769,787,769,733,856,879
Guinea-Bissau,557,558,703,616,634,622,603,661,737,778
Guyana,2757,3033,3425,3788,3935,4032,4166,4543,4586,4979
Haiti,672,666,744,770,816,832,816,735,766,868
Honduras,1790,1904,2088,2144,2103,2206,2302,2343,2450,2500
"Hong Kong SAR, China",30697,32550,35142,36731,38404,40315,42432,43734,46226,48676
Hungary,13046,13114,14151,12918,13687,14246,12652,12992,14458,16162
Iceland,41333,43025,47517,45910,49522,54242,52429,61758,71315,73191
India,1102,1358,1458,1444,1450,1574,1606,1729,1981,2010
Indonesia,2261,3122,3643,3694,3624,3492,3332,3563,3837,3894
Iraq,3854,4657,6045,6836,7077,6819,4990,4777,5205,5834
Ireland,52105,48715,51849,48918,51590,55493,61995,63197,69650,78806
Israel,27716,30694,33669,32511,36309,37679,35777,37322,40542,41715
Italy,37080,36001,38599,35054,35550,35518,30230,30936,32327,34483
Jamaica,4316,4704,5111,5210,4989,4834,4908,4843,5069,5354
Japan,40855,44508,48168,48603,40454,38109,34524,38794,38332,39290
Jordan,3504,3690,3816,3877,3998,4073,4105,4104,4163,4242
Kazakhstan,7165,9070,11634,12387,13891,12807,10511,7715,9248,9813
Kenya,905,952,972,1137,1210,1316,1337,1411,1568,1711
Kiribati,1312,1517,1735,1789,1716,1643,1543,1585,1626,1625
"Korea, Rep.",18292,22087,24080,24359,25890,27811,27105,27608,29743,31363
Kosovo,3210,3283,3737,3601,3877,4055,3574,3697,3948,4302
Kuwait,37562,38577,48619,51979,49388,44062,29870,27653,29760,33994
Kyrgyz Republic,871,880,1124,1178,1282,1280,1121,1121,1243,1281
Lao PDR,949,1141,1378,1581,1826,1998,2135,2309,2424,2542
Latvia,12257,11345,13714,13848,15043,15740,13699,14153,15548,17861
Lebanon,7371,7757,7703,7986,7924,7712,7650,7635,7838,8270
Lesotho,891,1200,1393,1329,1249,1276,1112,1115,1227,1299
Liberia,471,513,597,658,722,721,710,715,699,677
Libya,10275,12065,5554,13025,10364,6467,4338,4035,5756,7242
Lithuania,11837,11954,14339,14334,15705,16534,14249,14999,16841,19153
Luxembourg,103199,104965,115762,106749,113625,118824,101376,104278,107361,116640
"Macao SAR, China",40797,52253,66644,76292,89287,93777,75341,74061,81517,87209
Madagascar,468,472,531,518,541,531,467,476,515,528
Malawi,438,479,535,392,348,371,381,316,357,389
Malaysia,7292,9041,10399,10817,10970,11319,9955,9818,10254,11373
Maldives,6636,7077,7291,7266,7928,8499,9033,9209,9541,10331
Mali,698,710,837,779,805,847,751,780,829,900
Malta,20676,21107,22846,21927,23839,26012,24077,25152,27284,30098
Marshall Islands,2698,2877,3084,3224,3297,3230,3214,3474,3667,3788
Mauritania,1079,1241,1436,1411,1477,1372,1193,1124,1146,1189
Mauritius,7318,8000,9197,9291,9637,10154,9260,9682,10485,11239
Mexico,8003,9271,10203,10242,10725,10922,9606,8740,9278,9673
"Micronesia, Fed. Sts.",2722,2885,3009,3131,2995,2971,2906,3015,3290,3568
Moldova,1526,1958,2364,2447,2669,2674,2179,2272,2724,3227
Monaco,154762,150585,168786,157516,177593,189171,165938,169916,167102,185741
Mongolia,1714,2643,3758,4352,4366,4159,3919,3660,3669,4122
Montenegro,6727,6682,7319,6587,7186,7378,6514,7029,7784,8844
Morocco,2867,2840,3047,2913,3122,3172,2875,2898,3036,3238
Mozambique,520,471,595,658,664,674,590,429,461,499
Myanmar,734,979,1176,1166,1162,1252,1133,1192,1250,1326
Namibia,4265,5325,5754,5931,5694,5624,5033,4786,5646,5931
Nauru,4457,4921,7227,10102,10039,9872,8013,7821,8845,9889
Nepal,478,592,699,698,716,743,793,777,911,1034
Netherlands,52514,50950,54159,50073,52184,52830,45175,46008,48555,53024
New Zealand,28201,33692,38427,39970,42949,44534,38560,40027,42260,41945
Nicaragua,1444,1504,1656,1760,1812,1934,2050,2108,2168,2029
Niger,339,347,374,390,414,428,361,362,376,414
Nigeria,1891,2292,2520,2747,2998,3223,2730,2176,1969,2028
North Macedonia,4544,4543,5064,4698,5211,5468,4840,5129,5418,6084
Northern Mariana Islands,14670,14804,13571,13828,14274,15279,16691,22247,28305,23259
Norway,79978,87694,100601,101524,102913,97019,74356,70461,75497,81697
Oman,16824,19281,20897,21924,20927,20132,16151,14722,15130,16415
Pakistan,958,987,1165,1198,1209,1251,1357,1368,1465,1482
Palau,10028,10220,10884,11967,12688,13795,15872,16932,16078,15859
Panama,7576,8082,9358,10722,11889,12796,13630,14356,15166,15575
Papua New Guinea,1626,1949,2407,2791,2730,2921,2679,2510,2695,2730
Paraguay,3625,4356,5323,5183,5927,6103,5407,5319,5681,5822
Peru,4196,5082,5869,6529,6757,6673,6229,6205,6711,6941
Philippines,1822,2124,2345,2573,2749,2831,2867,2941,2982,3103
Poland,11528,12600,13894,13146,13781,14348,12572,12432,13857,15421
Portugal,23060,22499,23187,20565,21647,22074,19242,19978,21437,23408
Puerto Rico,25769,26436,27279,27945,28513,28981,29764,30629,31353,31651
Qatar,59094,67403,82410,85076,85051,83859,63039,57163,61264,68794
Romania,8548,8210,9105,8535,9555,10027,8977,9567,10808,12301
Russian Federation,8563,10675,14351,15435,16007,14101,9314,8745,10751,11289
Rwanda,557,583,646,704,705,723,728,726,763,773
Samoa,3168,3566,3933,4022,4038,3938,4074,4109,4258,4183
Sao Tome and Principe,1068,1095,1264,1341,1577,1783,1596,1710,1811,2001
Saudi Arabia,16113,19263,23746,25243,24845,24464,20628,19879,20804,23339
Senegal,1317,1279,1372,1330,1376,1395,1219,1269,1367,1522
Serbia,6169,5735,6809,6016,6755,6600,5585,5756,6284,7247
Seychelles,9707,10805,12189,12007,14766,14700,14745,15078,15684,16434
Sierra Leone,391,402,448,566,717,715,588,501,499,534
Singapore,38927,47237,53890,55546,56967,57563,55647,56724,60298,64582
Slovak Republic,16532,16727,18338,17460,18237,18671,16309,16506,17510,19443
Slovenia,24694,23510,25095,22643,23497,24215,20882,21623,23443,26124
Solomon Islands,1160,1290,1722,1913,1977,1997,1914,1986,2059,2138
South Africa,5863,7329,8007,7501,6832,6433,5735,5273,6132,6374
Spain,32042,30503,31636,28324,29060,29462,25732,26506,28101,30371
Sri Lanka,2090,2800,3201,3351,3610,3819,3844,3886,4105,4102
St. Kitts and Nevis,15784,15509,16538,16045,16685,18052,18029,18812,19155,19275
St. Lucia,7425,8037,8227,8152,8359,8744,9262,9452,10040,10566
St. Vincent and the Grenadines,6233,6293,6242,6390,6640,6685,6921,7075,7213,7361
Sudan,1238,1490,1672,1882,1944,2163,2487,2398,3015,977
Suriname,7408,8256,8263,9201,9402,9472,8562,5605,5379,6234
Sweden,46794,52817,60613,57874,60897,59844,51397,51974,53744,54608
Switzerland,69927,74606,88416,83538,85112,86606,82082,80172,80450,82797
Tajikistan,676,750,847,969,1048,1104,929,803,806,827
Tanzania,695,743,781,868,970,1030,948,966,1005,1051
Thailand,4213,5076,5492,5861,6168,5952,5840,5979,6578,7274
Timor-Leste,2978,3657,5095,5880,4888,3442,2585,2053,2001,2036
Togo,538,534,586,572,621,640,571,597,625,679
Tonga,3063,3553,4085,4598,4429,4394,4321,3966,4217,4364
Trinidad and Tobago,14514,16683,19034,19157,20144,20271,18290,16177,16238,17130
Tunisia,4128,4142,4265,4153,4223,4305,3862,3698,3482,3448
Turkey,9039,10672,11336,11707,12519,12096,10949,10821,10514,9370
Turkmenistan,4036,4439,5650,6675,7304,7962,6433,6390,6587,6967
Turks and Caicos Islands,22020,21028,21835,21010,21329,23296,24833,25995,25934,27142
Tuvalu,2600,3022,3641,3508,3455,3399,3198,3256,3573,3701
Uganda,578,622,603,669,689,739,709,609,632,643
Ukraine,2543,2965,3570,3855,4030,3105,2125,2188,2641,3095
United Arab Emirates,32024,33893,39195,40976,42413,43752,38663,38142,39812,43005
United Kingdom,38713,39436,42039,42463,43445,47418,44966,41074,40361,42944
United States,47100,48467,49883,51603,53107,55033,56803,57904,59928,62795
Uruguay,9452,11992,14237,15172,16974,16832,15614,15387,16437,17278
Uzbekistan,1213,1634,1926,2137,2281,2492,2615,2568,1827,1532
Vanuatu,2650,2967,3265,3133,3124,3088,2802,2890,3082,3124
Vietnam,1217,1318,1525,1735,1887,2030,2085,2192,2366,2567
West Bank and Gaza,1970,2354,2695,2834,3060,3047,2968,3074,3254,3199
"Yemen, Rep.",1116,1335,1375,1447,1607,1674,1609,1140,963,944
Zambia,1160,1489,1673,1763,1879,1763,1338,1281,1535,1540
Zimbabwe,772,948,1094,1305,1430,1435,1445,1465,1602,2147
Arab World,5183,5946,6890,7505,7553,7499,6459,6214,6279,6609
Caribbean small states,8399,9074,9743,9994,10115,10175,9921,9369,9515,9991
Central Europe and the Baltics,12292,12578,13887,13015,13718,14161,12490,12787,14183,15929
Early-demographic dividend,2457,2942,3250,3359,3372,3440,3292,3323,3547,3582
East Asia & Pacific,6626,7673,8836,9393,9434,9650,9533,9773,10342,11143
East Asia & Pacific (excluding high income),3325,4003,4856,5376,5888,6283,6490,6557,7084,7823
East Asia & Pacific (IDA & IBRD countries),3361,4045,4908,5433,5950,6349,6559,6626,7159,7905
Euro area,38423,37567,40613,37598,39103,39857,34378,35128,36998,39928
Europe & Central Asia,23119,23588,26093,25049,26054,26279,22530,22355,23543,25107
Europe & Central Asia (excluding high income),6562,7793,9584,10094,10664,9889,7520,7163,7995,8164
Europe & Central Asia (IDA & IBRD countries),7071,8267,10002,10385,10957,10300,7983,7650,8530,8823
European Union,34019,33741,36507,34329,35684,36787,32319,32425,33908,36570
Fragile and conflict affected situations,1300,1512,1609,1820,1858,1824,1606,1538,1674,1633
Heavily indebted poor countries (HIPC),711,764,831,869,941,968,924,921,995,935
High income,37625,39174,42087,41887,42144,42802,40196,40792,42376,44787
IBRD only,3760,4521,5289,5567,5826,5958,5571,5551,6056,6385
IDA & IBRD total,3100,3704,4310,4528,4737,4844,4527,4488,4864,5099
IDA blend,1349,1553,1756,1889,2005,2126,1973,1787,1734,1788
IDA only,744,826,905,939,1022,1070,1060,1074,1162,1140
IDA total,951,1075,1198,1267,1361,1435,1375,1317,1354,1359
Late-demographic dividend,5192,6191,7502,7977,8547,8800,8195,8145,8947,9693
Latin America & Caribbean,7389,9059,10186,10178,10317,10408,8863,8572,9407,9044
Latin America & Caribbean (excluding high income),7106,8760,9862,9816,9928,10053,8454,8138,8967,8546
Latin America & the Caribbean (IDA & IBRD countries),7265,8974,10120,10102,10238,10325,8721,8412,9261,8888
Least developed countries: UN classification,720,806,902,946,1003,1059,1023,1009,1107,1054
Low & middle income,2997,3590,4184,4408,4612,4720,4420,4382,4748,4971
Low income,602,642,698,744,799,829,796,759,789,834
Lower middle income,1377,1662,1850,1911,1966,2040,1996,2049,2187,2217
Middle East & North Africa,6268,7174,8332,8896,8668,8541,7388,7274,7418,8043
Middle income,3261,3918,4577,4826,5053,5177,4852,4820,5232,5485
North America,46483,48374,50110,51703,53053,54619,55477,56340,58434,61117
OECD members,34563,35986,38493,38203,38463,39020,36624,37086,38424,40410
Other small states,11008,12502,15088,15493,15713,15837,12846,12433,13455,14705
Pacific island small states,2653,2906,3404,3572,3659,3925,3782,3900,4133,4225
Post-demographic dividend,38061,39514,42315,42090,42320,42990,40498,41203,42741,45126
Pre-demographic dividend,1209,1389,1574,1690,1799,1864,1588,1421,1473,1437
Small states,9956,11220,13313,13689,13897,14031,11742,11344,12165,13214
South Asia,1042,1257,1367,1364,1382,1494,1542,1649,1867,1903
South Asia (IDA & IBRD),1042,1257,1367,1364,1382,1494,1542,1649,1867,1903
Sub-Saharan Africa,1361,1578,1739,1788,1853,1889,1671,1522,1610,1586
Sub-Saharan Africa (excluding high income),1360,1577,1738,1787,1852,1888,1670,1521,1609,1584
Sub-Saharan Africa (IDA & IBRD countries),1361,1578,1739,1788,1853,1889,1671,1522,1610,1586
Upper middle income,5271,6344,7533,8010,8449,8652,8036,7927,8670,9205
World,8820,9541,10479,10595,10771,10934,10224,10256,10778,11312
